This file was created by CMPT_ME_PRIOR_RETS using the 201803 CRSP database.
It contains value- weighted returns for the intersections of  2 ME portfolios
and  3 prior return portfolios.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  PRIOR_RET is from -12 to - 2.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
192701,  -0.09,   3.62,   0.40,  -0.40,   0.27,   0.00
192702,   7.26,   6.11,   6.05,   7.27,   3.80,   4.47
192703,  -3.38,  -2.88,  -2.06,  -3.63,  -0.24,   2.23
192704,  -0.51,  -0.56,   3.32,  -2.72,   0.75,   1.82
192705,   2.39,  11.21,   6.82,   5.52,   4.85,   7.11
192706,  -2.06,  -0.44,  -2.88,  -3.72,  -2.12,  -1.87
192707,   3.14,   4.29,   6.93,   4.53,   7.84,   9.38
192708,   0.00,  -0.44,   0.10,   1.21,   2.10,   3.35
192709,   2.53,   0.30,   3.19,   3.02,   4.87,   6.22
192710,  -4.50,  -1.80,  -3.34,  -2.11,  -3.39,  -5.50
192711,  11.62,   8.64,   7.02,   5.12,   6.02,   8.35
192712,   0.37,   5.74,   4.53,   1.23,   1.70,   3.46
192801,   2.92,   3.47,   0.66,  -1.93,  -0.24,  -0.87
192802,  -3.50,  -1.92,  -4.77,  -0.81,  -1.04,  -1.58
192803,   6.45,   7.81,   7.57,   6.75,   5.30,  15.37
192804,   8.20,  10.42,   5.98,  11.14,   4.02,   2.05
192805,   2.76,   2.37,   4.01,  -1.21,   1.06,   3.24
192806,  -9.28,  -7.31,  -6.27,  -5.17,  -4.05,  -4.09
192807,  -1.67,  -0.57,   1.99,  -0.28,   0.78,   1.56
192808,   4.95,   2.41,   6.29,   4.30,   6.26,  10.21
192809,   4.20,   5.33,   7.61,   1.43,   1.89,   5.25
192810,   0.30,   0.92,   7.29,   0.77,   0.78,   3.88
192811,  10.06,  11.67,  10.55,   8.78,  13.49,  12.15
192812,  -2.67,   0.65,  -1.40,  -0.47,   0.07,   1.67
192901,  -0.11,   2.19,   2.84,   3.88,   5.20,   5.79
192902,  -0.12,   1.22,   3.19,  -1.61,  -0.83,   1.18
192903,  -4.20,  -5.67,  -4.07,   0.78,   0.82,  -1.44
192904,   1.74,  -0.65,   1.90,  -0.94,   1.74,   2.69
192905, -11.22,  -8.92, -11.78,  -3.41,  -4.53,  -6.93
192906,   4.29,   6.13,  10.38,   3.08,   7.82,  14.43
192907,   0.82,  -0.22,   2.41,   0.90,   4.85,   4.98
192908,  -1.34,  -0.02,   1.87,   5.27,   7.60,  11.24
192909,  -6.12,  -3.71,  -2.09,  -7.40,  -3.58,  -5.35
192910, -24.33, -19.70, -23.22, -27.98, -11.32, -20.91
192911, -12.59, -10.60, -18.17, -14.24,  -8.17, -13.45
192912,  -7.78,  -1.97,  -0.57,   0.09,  -1.62,   3.15
193001,  17.84,   8.76,   6.70,   4.31,   5.87,   4.97
193002,   4.13,   3.30,   2.86,   0.78,   1.80,   2.95
193003,  11.84,  11.42,   6.35,   9.91,   6.66,   7.04
193004,  -5.42,  -6.50,  -2.10,  -5.94,  -2.46,  -1.44
193005,  -6.06,  -1.64,  -2.31,   2.79,  -2.24,  -1.01
193006, -25.70, -18.24, -16.71, -18.61, -17.32, -14.38
193007,   4.61,   3.66,   3.01,   5.77,   6.65,   3.05
193008,  -3.87,  -2.12,   0.82,  -2.66,   1.04,   0.55
193009, -20.50, -15.64, -10.97, -23.18, -13.32,  -9.82
193010, -12.98,  -9.40,  -8.29, -16.47,  -9.59,  -7.13
193011,  -2.66,  -3.62,  -1.53,   1.21,  -3.85,  -2.26
193012, -21.16, -14.90,  -7.87, -17.56, -10.01,  -4.28
193101,  24.31,  13.58,   9.38,  12.16,   6.22,   5.20
193102,  21.33,  16.27,  10.72,  25.81,  14.34,   7.66
193103, -12.69,  -5.51,  -2.10, -12.66,  -8.59,  -4.15
193104, -21.15, -16.56, -10.29, -18.57, -13.03,  -6.58
193105, -17.33, -14.46,  -6.55, -19.18, -14.24, -11.90
193106,  25.41,  17.72,   8.70,  29.60,  18.38,  10.60
193107, -11.36,  -7.47,  -3.17, -11.90,  -9.08,  -3.99
193108,  -1.34,  -2.54,  -3.51,   5.16,  -0.60,   0.28
193109, -39.31, -30.70, -29.45, -36.86, -30.74, -26.36
193110,  10.02,  10.01,  12.18,   4.21,   8.06,   8.62
193111, -13.62,  -5.59,  -8.78, -16.40, -11.19,  -6.03
193112, -25.64, -22.52, -11.61, -24.01, -16.12,  -9.69
193201,  13.11,   8.51,   1.98,   6.87,  -2.72,  -2.63
193202,   2.24,   0.87,   4.84,   5.62,   5.04,   6.26
193203, -15.72, -11.76,  -6.90, -19.84, -13.80,  -8.00
193204, -22.09, -18.49, -15.85, -22.82, -22.19, -15.15
193205, -25.20, -19.84, -20.46, -37.15, -22.00, -17.48
193206,   3.20,   5.77,   8.24,   1.10,  -3.05,   0.27
193207,  60.27,  42.70,  21.43,  72.72,  41.60,  23.68
193208,  92.20,  68.41,  41.06,  76.19,  45.03,  22.80
193209, -10.77,  -6.12,  -7.76,  -5.28,  -1.40,  -3.42
193210, -15.97, -16.89, -17.65, -20.32, -11.01, -10.06
193211,  -6.55,  -9.34,  -8.88,  -9.11,  -3.49, -10.95
193212, -11.86,  -8.00,  -1.94,   4.82,   4.46,   5.42
193301,   4.19,   7.69,   2.38,   1.56,   1.50,   0.32
193302, -17.69, -19.59, -15.79, -20.58, -16.22, -14.11
193303,   9.34,  11.03,  14.42,   5.66,   1.30,   5.28
193304,  57.46,  45.99,  49.27,  53.11,  44.00,  29.40
193305,  74.47,  69.91,  67.71,  20.69,  20.40,  19.62
193306,  21.70,  22.29,  21.41,  10.17,  11.59,  17.53
193307, -10.77, -12.59, -10.50,  -8.77, -10.77,  -8.23
193308,   9.02,  11.15,  10.15,   7.08,  16.70,  20.96
193309, -18.69, -15.15, -15.39, -11.54,  -8.41, -11.54
193310, -10.44, -13.04, -13.46,  -7.62,  -8.50,  -9.16
193311,   1.55,   7.13,   6.49,   7.90,   9.80,  15.66
193312,   0.02,   4.14,   1.34,   0.18,   0.72,   6.78
193401,  37.54,  33.66,  36.12,  14.54,  11.00,   9.77
193402,   2.25,   1.14,   2.51,  -2.37,  -2.54,  -3.14
