This file was created by CMPT_ME_PRIOR_RETS using the 201803 CRSP database.
It contains value- weighted returns for the intersections of  2 ME portfolios
and  3 prior return portfolios.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  PRIOR_RET is from - 1 to - 1.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
192602,  -7.39,  -5.60,  -6.25,  -4.91,  -2.74,  -2.04
192603, -12.54, -10.10,  -9.79, -13.96,  -5.37,  -5.10
192604,   4.32,   3.52,   3.97,   1.17,   4.40,   3.72
192605,  -0.38,   0.74,   0.66,  -0.70,   1.91,   0.83
192606,   5.35,   4.51,   4.66,  10.97,   5.30,   3.67
192607,   0.88,   0.88,   0.90,   2.08,   2.31,   5.75
192608,   5.02,   2.58,   3.05,   3.07,   3.20,   2.21
192609,  -0.61,   0.68,  -2.70,  -0.68,   0.47,   1.77
192610,  -5.74,  -2.63,  -2.78,  -3.90,  -2.66,  -2.79
192611,   1.30,   5.86,   1.42,   3.82,   3.28,   1.76
192612,   3.36,   2.86,   1.86,   4.55,   2.75,   2.14
192701,   0.06,   1.54,   3.02,  -1.12,   0.60,  -0.16
192702,   5.59,   5.62,   6.86,   5.12,   3.81,   6.54
192703,  -2.68,  -2.87,  -2.44,  -3.10,   1.07,   3.27
192704,  -1.65,   1.88,  -0.14,  -3.45,   0.28,   2.11
192705,   6.48,   6.93,   6.08,   4.88,   5.44,   6.62
192706,  -1.87,  -1.46,  -1.32,  -2.47,  -2.21,  -1.66
192707,   4.61,   5.32,   4.00,   6.14,   7.80,   8.27
192708,  -1.44,   1.59,  -2.21,   0.58,   1.71,   3.76
192709,   1.92,   2.27,   2.09,   4.28,   4.41,   6.31
192710,  -5.08,  -2.52,  -1.15,  -6.09,  -3.27,  -4.44
192711,  12.73,   7.97,   6.26,   8.95,   6.01,   6.48
192712,   2.90,   4.87,   1.32,   1.53,   2.25,   3.67
192801,   2.53,   3.68,   1.04,  -1.12,  -0.22,  -1.11
192802,  -3.26,  -2.76,  -2.51,  -1.83,  -0.66,  -2.94
192803,   6.43,   6.87,  10.61,   5.72,   7.18,  12.95
192804,   6.85,   7.39,  11.59,   6.51,   4.40,   3.11
192805,   3.54,   2.97,   2.22,   3.56,   2.16,  -1.35
192806,  -8.50,  -5.96,  -8.68,  -3.89,  -3.94,  -5.65
192807,  -2.28,   0.29,   1.64,   1.56,   0.86,   1.04
192808,   5.33,   4.37,   3.74,   8.40,   5.84,   9.82
192809,   5.57,   4.40,   5.70,   2.36,   3.36,   3.18
192810,   0.85,   1.85,   5.27,   2.20,   1.22,   2.24
192811,  11.70,   9.84,   9.72,   9.87,  11.63,  15.23
192812,  -0.19,  -2.44,  -0.29,  -1.23,   0.48,   1.55
192901,   0.03,   1.98,   4.30,  -4.21,   6.93,   5.44
192902,   0.72,   1.30,   1.08,  -0.53,   1.10,  -0.79
192903,  -5.27,  -4.79,  -4.22,  -3.57,   0.30,   0.91
192904,   1.38,   2.41,  -0.20,   1.88,   2.17,   1.41
192905, -13.09,  -8.66, -10.00,  -7.50,  -4.85,  -6.19
192906,   8.64,   5.07,   4.15,   9.11,  10.33,  11.09
192907,   1.47,   3.23,  -2.39,   0.78,   3.61,   7.14
192908,   0.55,   0.37,  -0.44,   5.77,   8.79,  10.25
192909,  -6.17,  -3.03,  -6.03,  -1.80,  -3.80,  -5.91
192910, -27.69, -20.36, -23.30, -22.31, -16.31, -21.73
192911, -17.92, -11.28, -10.81, -17.58, -13.16,  -8.62
192912,  -5.19,  -2.27,  -2.29,   4.17,   2.75,  -1.70
193001,  18.68,  10.03,   5.94,   4.16,   5.12,   6.04
193002,   6.78,   3.05,   2.95,   0.98,   3.35,   4.58
193003,  14.07,  10.34,  10.28,   7.91,   6.36,   8.67
193004,  -5.15,  -5.14,  -5.19,  -0.39,  -2.45,  -0.14
193005,  -3.95,  -1.73,  -7.59,   0.44,  -0.37,  -2.83
193006, -24.35, -17.94, -20.15, -22.54, -15.62, -14.25
193007,   8.02,   3.12,   0.59,   7.06,   5.38,   2.31
193008,  -1.32,  -1.04,  -4.74,  -0.41,   1.28,  -0.82
193009, -19.40, -12.97, -16.07, -17.11, -11.22, -13.02
193010, -10.48, -10.94, -10.20, -12.79, -10.10,  -5.69
193011,  -0.46,  -2.76,  -4.83,  -3.71,  -3.04,  -2.30
193012, -18.07, -12.75, -13.84,  -9.77,  -6.60,  -8.37
193101,  27.03,  12.89,   6.08,  16.28,   7.14,   4.24
193102,  16.15,  16.58,  16.28,  11.44,   9.46,  16.85
193103,  -5.37,  -5.20, -10.88,  -6.29,  -5.23, -11.28
193104, -18.87, -16.50, -14.40, -13.79,  -9.41,  -7.27
193105, -14.75, -14.35, -10.91, -15.00, -14.64, -11.91
193106,  30.44,  16.29,   8.77,  23.52,  12.99,   9.74
193107,  -3.58,  -8.34,  -9.67,  -2.85,  -6.48, -11.90
193108,  -1.38,  -2.78,  -3.31,   0.15,   1.01,  -1.49
193109, -33.44, -32.09, -34.54, -27.05, -27.76, -31.18
193110,  20.58,   9.78,  -1.67,  16.01,  10.64,   1.81
193111,  -7.30,  -6.83, -13.43, -13.32,  -7.75,  -9.68
193112, -22.42, -18.48, -22.61, -23.38, -11.42, -11.46
193201,  15.96,   8.65,  -2.09,   8.49,   0.63,  -5.02
193202,   7.66,   2.38,  -1.73,   8.10,   4.87,  -1.62
193203, -10.27, -10.89, -15.16, -16.49, -10.58, -10.33
193204, -15.23, -19.94, -18.58, -21.59, -18.33, -14.79
193205, -22.68, -21.08, -19.53, -18.90, -20.43, -21.50
193206,  13.08,   5.14,  -4.27,   9.36,  -1.12,  -5.02
193207,  55.10,  34.91,  44.75,  30.67,  31.26,  44.18
193208,  67.62,  70.43,  73.25,  25.95,  33.11,  60.15
193209,  -2.37,  -7.39, -13.82,  -2.56,  -1.45, -10.35
193210, -15.40, -18.59, -14.47, -16.21, -11.41, -14.06
193211,  -4.01, -11.46,  -7.60,  -8.34,  -6.48,  -4.63
193212,  -8.47,  -5.34, -11.44,   1.67,   4.92,   5.74
193301,  10.25,   3.22,  -1.99,   4.43,   0.70,   1.23
193302, -12.32, -18.56, -21.71, -17.61, -14.78, -14.49
193303,  16.33,  12.41,   2.42,   7.11,   3.31,   0.71
193304,  52.30,  52.05,  48.28,  28.07,  40.96,  56.66
193305,  74.64,  78.85,  63.83,  17.71,  20.55,  23.54
193306,  19.66,  25.97,  18.59,  11.85,  15.58,  12.92
193307,  -5.62, -13.26, -14.64,  -9.46,  -8.24, -16.37
193308,  15.64,   8.03,   5.03,  18.22,  11.11,  12.09
193309, -15.57, -16.32, -17.20, -13.22,  -9.39, -10.70
193310,  -9.85, -12.68, -15.54, -14.95,  -8.47,  -6.90
193311,   7.59,   6.45,  -0.02,  12.73,  10.81,   8.40
193312,   3.66,  -0.03,   2.89,   2.23,  -0.42,   4.37
193401,  46.03,  30.96,  29.58,  17.16,   9.68,  14.04
193402,   3.23,   2.62,   0.86,  -2.60,  -2.48,  -4.60
193403,   1.85,   1.32,  -0.50,   1.22,  -0.46,   1.01
193404,   2.23,  -1.26,   0.10,  -3.23,  -1.75,  -1.28
193405, -14.12, -10.01,  -9.77, -11.11,  -7.30,  -3.32
193406,  -1.60,  -0.27,  -1.38,   1.59,   2.68,   3.07
193407, -22.53, -22.37, -22.05, -19.35, -10.21,  -9.96
193408,  17.75,  10.75,   1.26,  12.75,   7.23,   3.89
193409,  -1.74,  -0.72,  -2.75,   0.80,  -0.37,  -1.78
193410,  -1.91,  -2.04,  -2.28,  -1.70,  -1.78,  -1.37
193411,  17.14,  15.58,  10.85,   7.15,   7.88,   9.27
193412,   1.80,   2.43,   3.10,  -1.28,   0.42,   3.34
193501,  -0.33,  -3.33,  -7.37,  -3.63,  -3.71,  -2.12
193502,  -7.06,  -6.95,  -7.79,  -5.10,  -1.82,   1.53
193503, -11.93,  -9.18,  -7.52,  -2.46,  -4.13,  -2.79
193504,  14.53,  10.64,   7.89,   9.24,   8.28,   9.71
193505,   5.38,   2.73,  -0.80,   4.60,   3.56,   2.85
193506,   5.28,   3.22,   1.99,   7.03,   5.69,   6.36
193507,  15.89,  11.72,  11.35,   4.06,   6.05,  11.05
193508,   8.62,   8.98,   9.34,  -0.71,   2.86,   5.46
193509,   7.32,   3.92,   2.42,  -0.22,   2.95,   5.87
193510,   9.56,   9.82,   8.45,  11.54,   4.54,   9.28
193511,  19.33,  12.78,   8.87,   4.65,   5.13,   3.49
193512,   6.78,   5.86,   7.97,   4.02,   3.84,   9.57
193601,  14.34,  12.53,  12.97,   3.87,   6.89,   8.16
193602,   5.92,   5.92,   5.70,   2.25,   2.94,  -1.42
193603,   3.67,   1.40,   0.17,  -0.88,   2.25,  -0.96
193604, -14.69, -13.43, -11.90,  -7.46,  -7.50,  -8.88
193605,   7.56,   5.37,   2.34,   7.60,   3.96,   6.08
193606,  -0.28,  -0.80,  -1.45,   3.07,   2.72,   1.86
193607,  11.37,   7.53,   7.25,   7.58,   6.51,   6.49
193608,   2.23,   1.03,   2.56,   1.25,   0.27,   2.12
193609,   5.21,   2.89,   3.76,   1.68,   0.75,   0.63
193610,   5.30,   6.25,   7.04,   7.55,   7.33,   5.27
193611,   9.53,   9.24,  13.39,   2.93,   2.78,   3.26
193612,   0.75,   4.11,   6.35,  -0.54,   0.42,   0.18
193701,   7.37,   9.34,   9.21,   3.10,   1.95,   5.73
193702,   6.50,   3.28,   1.57,   1.03,   0.90,   1.21
193703,  -0.72,  -0.33,  -1.58,  -1.72,  -1.62,   4.82
193704, -11.09,  -8.55, -11.10,  -5.61,  -6.91,  -8.64
193705,  -2.41,  -2.24,  -2.52,  -0.38,  -1.00,  -0.43
193706,  -9.80,  -8.05,  -8.55,  -6.07,  -4.21,  -3.11
193707,  14.21,   9.26,   5.66,  12.47,   9.77,   7.79
193708,  -2.88,  -4.14,  -7.20,  -2.80,  -5.15,  -6.78
193709, -24.46, -21.59, -19.04, -18.28, -12.12, -11.91
